"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что API возвращает 400 при попытке входа c: Неверный логин, неверный пароль","165","Тест неуспешного входа: Неверный логин, неверный пароль","tests.auth","Sun Apr 20 20:15:49 GMT 2025","passed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем добавление запроса в избранное и  появление в списке.","39","Тест успешного добавления запроса в избранное","tests.user","Sun Apr 20 20:15:53 GMT 2025","failed","Sun Apr 20 20:15:53 GMT 2025","TestUserFavouritesAPI","test_user_favourites_api","",""
"Проверяем получение ответа 400 (мок) при: Неверный логин","75","Тест неуспешного входа: Неверный логин (c моком)","tests.auth","Sun Apr 20 20:15:51 GMT 2025","passed","Sun Apr 20 20:15:51 GMT 2025","TestAuthenticationAPIMocked","test_auth_api_mocked","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Отсутствует поле password","72","Тест неуспешного входа: Отсутствует поле password","tests.auth","Sun Apr 20 20:15:50 GMT 2025","failed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение ответа 400 (мок) при: Неверные логин и пароль","64","Тест неуспешного входа: Неверные логин и пароль (c моком)","tests.auth","Sun Apr 20 20:15:51 GMT 2025","passed","Sun Apr 20 20:15:51 GMT 2025","TestAuthenticationAPIMocked","test_auth_api_mocked","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Отсутствует поле login","54","Тест неуспешного входа: Отсутствует поле login","tests.auth","Sun Apr 20 20:15:50 GMT 2025","failed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем возможность внести вклад в существующий запрос.","53","Тест успешного внесения вклада в существующий запрос","tests.request","Sun Apr 20 20:15:52 GMT 2025","failed","Sun Apr 20 20:15:52 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверяем успешный ответ и валидацию токена при мокированном ответе API.","105","Тест успешной авторизации пользователя (c моком)","tests.auth","Sun Apr 20 20:15:50 GMT 2025","passed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPIMocked","test_auth_api_mocked","",""
"Проверяем, что при попытке удалить несуществующий ID возвращается ошибка 400.","40","Тест удаления несуществующего ID из избранного","tests.user","Sun Apr 20 20:15:53 GMT 2025","failed","Sun Apr 20 20:15:53 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем удаление ранее добавленного элемента из избранного.","0","Тест успешного удаления запроса из избранного","tests.user","Sun Apr 20 20:15:52 GMT 2025","skipped","Sun Apr 20 20:15:52 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Пустое тело запроса","83","Тест неуспешного входа: Пустое тело запроса","tests.auth","Sun Apr 20 20:15:50 GMT 2025","failed","Sun Apr 20 20:15:51 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение ошибки 404 при запросе деталей по несуществующему ID.","57","Тест получения деталей несуществующего запроса","tests.request","Sun Apr 20 20:15:51 GMT 2025","failed","Sun Apr 20 20:15:51 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Пустая строка в поле login","90","Тест неуспешного входа: Пустая строка в поле login","tests.auth","Sun Apr 20 20:15:50 GMT 2025","failed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение данных профиля для аутентифицированного пользователя.","32","Тест успешного получения данных пользователя","tests.user","Sun Apr 20 20:15:52 GMT 2025","failed","Sun Apr 20 20:15:52 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем, что неавторизованный пользователь получает ошибку 403.","35","Тест получения списка избранного без аутентификации","tests.user","Sun Apr 20 20:15:52 GMT 2025","passed","Sun Apr 20 20:15:52 GMT 2025","TestUserFavouritesAPI","test_user_favourites_api","",""
"Проверяем получение ответа 400 (мок) при: Неверный пароль","82","Тест неуспешного входа: Неверный пароль (c моком)","tests.auth","Sun Apr 20 20:15:50 GMT 2025","passed","Sun Apr 20 20:15:51 GMT 2025","TestAuthenticationAPIMocked","test_auth_api_mocked","",""
"Проверяем получение деталей запроса по существующему ID и валидируем поля.","68","Тест успешного получения деталей существующего запроса","tests.request","Sun Apr 20 20:15:51 GMT 2025","failed","Sun Apr 20 20:15:51 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверяем получение списка избранного для аутентифицированного пользователя.","51","Тест успешного получения списка избранного","tests.user","Sun Apr 20 20:15:52 GMT 2025","passed","Sun Apr 20 20:15:52 GMT 2025","TestUserFavouritesAPI","test_user_favourites_api","",""
"Проверяем получение списка всех запросов, ожидаем статус 200 и массив данных.","54","Тест успешного получения списка всех запросов помощи","tests.request","Sun Apr 20 20:15:51 GMT 2025","failed","Sun Apr 20 20:15:51 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверяем, что неавторизованный пользователь получает ошибку 401.","36","Тест удаления из избранного без аутентификации","tests.user","Sun Apr 20 20:15:52 GMT 2025","failed","Sun Apr 20 20:15:52 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем, что API возвращает 400 при попытке входа c: Неверный логин, корректный пароль","42","Тест неуспешного входа: Неверный логин, корректный пароль","tests.auth","Sun Apr 20 20:15:50 GMT 2025","passed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем, что при валидных учетных данных возвращается статус 200 и JWT токен.","108","Тест успешной авторизации пользователя","tests.auth","Sun Apr 20 20:15:50 GMT 2025","passed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем, что API возвращает 400 при попытке входа c: Корректный логин, неверный пароль","192","Тест неуспешного входа: Корректный логин, неверный пароль","tests.auth","Sun Apr 20 20:15:49 GMT 2025","passed","Sun Apr 20 20:15:50 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Пустая строка в поле password","73","Тест неуспешного входа: Пустая строка в поле password","tests.auth","Sun Apr 20 20:15:50 GMT 2025","failed","Sun Apr 20 20:15:51 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем, что неавторизованный пользователь получает ошибку 401.","52","Тест получения данных пользователя без аутентификации","tests.user","Sun Apr 20 20:15:52 GMT 2025","failed","Sun Apr 20 20:15:52 GMT 2025","TestUserAPI","test_user_api","",""
