"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения 404 для несуществующего запроса c моком.","3","Тест получения деталей несуществующего запроса (c MockFactory)","tests.request","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPIMockedFactory","test_request_api_mocked","",""
"Проверяем добавление запроса в избранное и  появление в списке.","23","Тест успешного добавления запроса в избранное","tests.user","Sat Aug 16 19:38:41 GMT 2025","failed","Sat Aug 16 19:38:41 GMT 2025","TestUserFavouritesAPI","test_user_favourites_api","",""
"Проверка добавления в избранное c моком.","3","Тест успешного добавления в избранное (c MockFactory)","tests.user","Sat Aug 16 19:38:41 GMT 2025","passed","Sat Aug 16 19:38:41 GMT 2025","TestUserFavouritesAPIMockedFactory","test_user_favourites_api_mocked","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Некорректный формат login (не email)","20","Тест неуспешного входа: Некорректный формат login (не email)","tests.auth","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем, что при попытке удалить несуществующий ID возвращается ошибка 400.","16","Тест удаления несуществующего ID из избранного","tests.user","Sat Aug 16 19:38:41 GMT 2025","failed","Sat Aug 16 19:38:41 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем, что при валидных учетных данных возвращается статус 200 и JWT токен.","67","Тест успешной авторизации пользователя","tests.auth","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверка получения 401 при удалении из избранного без аутентификации.","2","Тест удаления из избранного без аутентификации (c MockFactory)","tests.user","Sat Aug 16 19:38:41 GMT 2025","passed","Sat Aug 16 19:38:41 GMT 2025","TestUserAPIMockedFactory","test_user_api_mocked","",""
"Проверяем, что неавторизованный пользователь получает ошибку 403.","16","Тест получения списка избранного без аутентификации","tests.user","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestUserFavouritesAPI","test_user_favourites_api","",""
"Проверяем, что API возвращает 400 при попытке входа c: Неверный логин, неверный пароль","17","Тест неуспешного входа: Неверный логин, неверный пароль","tests.auth","Sat Aug 16 19:38:39 GMT 2025","passed","Sat Aug 16 19:38:39 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение ответа 400 (мок) при: Неверный логин","2","Тест неуспешного входа: Неверный логин (c MockFactory)","tests.auth","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationMockedFactory","test_auth_mocked","",""
"Проверяем получение ошибки 400 при запросе деталей c ID, должен быть отклонен сервером.","19","Тест получения деталей запроса c некорректным ID","tests.request","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверяем, что неавторизованный пользователь получает ошибку 401.","17","Тест получения данных пользователя без аутентификации","tests.user","Sat Aug 16 19:38:41 GMT 2025","failed","Sat Aug 16 19:38:41 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Пустая строка в поле login","20","Тест неуспешного входа: Пустая строка в поле login","tests.auth","Sat Aug 16 19:38:39 GMT 2025","failed","Sat Aug 16 19:38:39 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение деталей запроса по существующему ID и валидируем поля.","19","Тест успешного получения деталей существующего запроса","tests.request","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Пустая строка в поле password","19","Тест неуспешного входа: Пустая строка в поле password","tests.auth","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение списка всех запросов, ожидаем статус 200 и массив данных.","21","Тест успешного получения списка всех запросов помощи","tests.request","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверка успешного удаления из избранного c моком.","4","Тест успешного удаления из избранного (c MockFactory)","tests.user","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestUserAPIMockedFactory","test_user_api_mocked","",""
"Проверяем, что API возвращает 400 при попытке входа c: Корректный логин, неверный пароль","148","Тест неуспешного входа: Корректный логин, неверный пароль","tests.auth","Sat Aug 16 19:38:39 GMT 2025","passed","Sat Aug 16 19:38:39 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем ответ 500 при имитации серверной ошибки.","6","Тест серверной ошибки при авторизации (c MockFactory)","tests.auth","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationMockedFactory","test_auth_mocked","",""
"Проверяем успешный ответ и валидацию токена при мокированном ответе API.","4","Тест успешной авторизации пользователя (c MockFactory)","tests.auth","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationMockedFactory","test_auth_mocked","",""
"Проверка получения 404 при вкладе в несуществующий запрос c моком.","4","Тест внесения вклада в несуществующий запрос (c MockFactory)","tests.request","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPIMockedFactory","test_request_api_mocked","",""
"Проверка получения 401 при запросе избранного без аутентификации.","3","Тест получения списка избранного без аутентификации (c MockFactory)","tests.user","Sat Aug 16 19:38:41 GMT 2025","passed","Sat Aug 16 19:38:41 GMT 2025","TestUserFavouritesAPIMockedFactory","test_user_favourites_api_mocked","",""
"Проверяем получение ответа 400 (мок) при: Неверный пароль","3","Тест неуспешного входа: Неверный пароль (c MockFactory)","tests.auth","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationMockedFactory","test_auth_mocked","",""
"Проверка удаления несуществующего ID c моком 400.","3","Тест удаления несуществующего ID из избранного (c MockFactory)","tests.user","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestUserAPIMockedFactory","test_user_api_mocked","",""
"Проверка успешного вклада c моком.","3","Тест успешного внесения вклада (c MockFactory)","tests.request","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPIMockedFactory","test_request_api_mocked","",""
"Проверяем, что API возвращает 400 при отправке некорректного тела: Пустое тело запроса","55","Тест неуспешного входа: Пустое тело запроса","tests.auth","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверка получения 401 при добавлении в избранное без аутентификации.","3","Тест добавления в избранное без аутентификации (c MockFactory)","tests.user","Sat Aug 16 19:38:41 GMT 2025","passed","Sat Aug 16 19:38:41 GMT 2025","TestUserFavouritesAPIMockedFactory","test_user_favourites_api_mocked","",""
"Проверяем, что API возвращает 400 при попытке входа c: Неверный логин, корректный пароль","17","Тест неуспешного входа: Неверный логин, корректный пароль","tests.auth","Sat Aug 16 19:38:39 GMT 2025","passed","Sat Aug 16 19:38:39 GMT 2025","TestAuthenticationAPI","test_auth_api","",""
"Проверяем получение ошибки 404 при запросе деталей по несуществующему ID.","21","Тест получения деталей несуществующего запроса","tests.request","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPI","test_request_api","",""
"Проверка получения деталей существующего запроса c моком.","5","Тест успешного получения деталей существующего запроса (c MockFactory)","tests.request","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestRequestAPIMockedFactory","test_request_api_mocked","",""
"Проверяем получение данных профиля для аутентифицированного пользователя.","53","Тест успешного получения данных пользователя","tests.user","Sat Aug 16 19:38:40 GMT 2025","failed","Sat Aug 16 19:38:40 GMT 2025","TestUserAPI","test_user_api","",""
"Проверяем обработку ответа 401 при мокированном ответе API.","2","Тест получения данных пользователя без аутентификации (c моком 401)","tests.user","Sat Aug 16 19:38:40 GMT 2025","passed","Sat Aug 16 19:38:40 GMT 2025","TestUserAPIMockedFactory","test_user_api_mocked","",""
